"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Chacín, Jhoulys","468504","2016","144.0","4.81","R","2375","25.6","19.8","7.4","12.9","29.8","4.4",,,,,,,"59.9","32.7","7.4"
"Carrasco, Carlos","471911","2016","146.1","3.32","R","2238","39.3","12.9","20.5","13.9","13.4",,,,,,,,"52.7","26.8","20.5"
"Hellickson, Jeremy","476451","2016","189.0","3.71","R","2923","30.4","9.6","26.1","15.2","18.5","0",,,,,,,"49","24.8","26.1"
"Niese, Jonathon","477003","2016","121.0","5.50","L","2002","26.6","0.5","10.3","8.9","30.1","23.6",,,,,,,"80.2","9.4","10.3"
"Kershaw, Clayton","477132","2016","149.0","1.69","L","2058","50.1","33.4","0.3","15.6","0.5",,,,,,,,"50.7","49","0.3"
"Cashner, Andrew","488768","2016","132.0","5.25","R","2358","51.4","26.3","6.4","0.8","15.2",,,,,,,,"66.6","27.1","6.4"
"Miley, Wade","489119","2016","166.0","5.37","L","2729","39.3","20.3","17.9","12","10.5",,,,,,,,"49.8","32.3","17.9"
"Quintana, Jose","500779","2016","208.0","3.20","L","3277","44",,"7.8","25","23.2",,,,,,,,"67.2","25","7.8"
"Pineda, Michael","501381","2016","175.2","4.82","R","3013","47.6","40","8.4",,"1.4","2.7",,,,,,,"51.6","40","8.4"
"Tillman, Chris","501957","2016","172.0","3.77","R","2930","52.8","15.6","15.5","12.5",,"3.7",,,,,,,"56.5","28","15.5"
"Archer, Chris","502042","2016","201.1","4.02","R","3408","48.4","40.6","10.9",,,,,,,,,,"48.4","40.6","10.9"
"Gibson, Kyle","502043","2016","147.1","5.07","R","2456","26.1","18.4","17.2","9.4","28.9",,,,,,,,"55","27.8","17.2"
"Locke, Jeff","502046","2016","127.1","5.44","L","2077","4.3",,"32.4","1.3","61.9",,,,,,,,"66.2","1.3","32.4"
"Samardzija, Jeff","502188","2016","203.1","3.81","R","3166","32.9","17.1","0.4","7.9","19.2","15.2","7.3",,,,,,"67.3","25","7.7"
"Leake, Mike","502190","2016","176.2","4.69","R","2654","6.9","8.9","8.7","6","52.9","16.7",,,,,,,"76.5","14.9","8.7"
"Santiago, Héctor","502327","2016","182.0","4.70","L","3172",,"5.6","21.1","3.4","63.8","5.2",,,,,,"0.9","69","9","22"
"Anderson, Chase","502624","2016","151.2","4.39","R","2632","50",,"24","13.5","8.7","3.8",,,,,,,"62.5","13.5","24"
